,CustomerID,Recency,Frequency,Monetary,cluster
0,12346,5.786897381366708,1.0986122886681098,0.0,Best Customers
1,12747,1.0986122886681098,4.6443908991413725,8.342127645985029,Lost Customers
2,12748,0.0,8.40290404501411,10.254375383391665,Lost Customers
3,12749,1.3862943611198906,5.44673737166631,8.260803046308393,Lost Customers
4,12820,1.3862943611198906,4.0943445622221,6.849426769082011,Almost Lost
5,12821,5.3706380281276624,1.9459101490553132,4.540311613639595,Best Customers
6,12822,4.2626798770413155,3.871201010907891,6.824351930676353,Big Spenders
7,12823,4.31748811353631,1.791759469228055,7.473353138595107,Loyal Customers
8,12824,4.0943445622221,3.258096538021482,5.986753467377863,Loyal Customers
9,12826,1.0986122886681098,4.553876891600541,7.292418861060857,Lost Customers
10,12827,1.791759469228055,3.258096538021482,6.066456057398334,Almost Lost
11,12828,1.0986122886681098,4.04305126783455,6.9272735521280175,Almost Lost
12,12829,5.777652323222656,2.5649493574615367,5.537531098039741,Loyal Customers
13,12830,3.6375861597263857,3.6888794541139363,8.817208891026835,Big Spenders
14,12831,5.572154032177765,2.302585092994046,5.3755098623779425,Best Customers
15,12832,3.4965075614664802,3.332204510175204,5.950720674536128,Almost Lost
16,12833,4.983606621708336,3.2188758248682006,6.0363901104609745,Loyal Customers
17,12834,5.645446897643238,2.9444389791664403,5.7474165116762626,Loyal Customers
18,12836,4.0943445622221,5.1647859739235145,7.867626437402385,Big Spenders
19,12837,5.159055299214529,2.5649493574615367,4.906015244966153,Best Customers
20,12838,3.5263605246161616,4.795790545596741,6.511671032679724,Big Spenders
21,12839,1.0986122886681098,5.75890177387728,8.62777166979729,Lost Customers
22,12840,4.969813299576001,4.762173934797756,7.906646674937272,Big Spenders
23,12841,1.6094379124341003,6.073044534100405,8.254952719286159,Lost Customers
24,12842,4.2626798770413155,3.5553480614894135,7.0210750356778515,Big Spenders
25,12843,4.189654742026425,4.6913478822291435,7.427596143075045,Big Spenders
26,12844,3.4011973816621555,3.970291913552122,5.7898378392560215,Almost Lost
27,12845,5.5909869805108565,3.332204510175204,5.872371278471126,Loyal Customers
28,12847,3.1354942159291497,4.442651256490317,6.738910501075306,Big Spenders
29,12849,3.4657359027997265,3.8918202981106265,6.918982022596603,Big Spenders
30,12851,4.574710978503383,3.871201010907891,4.8889195354121595,Loyal Customers
